time(%Y-%m-%dT%H:%M:%S.%f),rel_time(sec),velocity(m/s)
2022-01-02T04:00:00.025000,0,0
2022-01-02T04:00:00.075000,0.05,0.000502742
2022-01-02T04:00:00.125000,0.1,0.003634534
2022-01-02T04:00:00.175000,0.15,0.01019835
2022-01-02T04:00:00.225000,0.2,0.028213509
2022-01-02T04:00:00.275000,0.25,0.029769875
2022-01-02T04:00:00.325000,0.3,0.027927241
2022-01-02T04:00:00.375000,0.35,0.039891955
2022-01-02T04:00:00.425000,0.4,0.055475156
2022-01-02T04:00:00.475000,0.45,0.120090677
2022-01-02T04:00:00.525000,0.5,0.13634534
2022-01-02T04:00:00.575000,0.55,0.154603265
2022-01-02T04:00:00.625000,0.6,0.221805503
2022-01-02T04:00:00.675000,0.65,0.24420891
2022-01-02T04:00:00.725000,0.7,0.287927675
2022-01-02T04:00:00.775000,0.75,0.256486424
2022-01-02T04:00:00.825000,0.8,0.230793331
2022-01-02T04:00:00.875000,0.85,0.250937205
2022-01-02T04:00:00.925000,0.9,0.392661592
2022-01-02T04:00:00.975000,0.95,0.573589298
2022-01-02T04:00:01.025000,1,0.309338453
2022-01-02T04:00:01.075000,1.05,0.366352299
2022-01-02T04:00:01.125000,1.1,0.630665288
2022-01-02T04:00:01.175000,1.15,0.603585251
2022-01-02T04:00:01.225000,1.2,0.923705234
2022-01-02T04:00:01.275000,1.25,0.847366561
2022-01-02T04:00:01.325000,1.3,0.684516174
2022-01-02T04:00:01.375000,1.35,0.908562729
2022-01-02T04:00:01.425000,1.4,0.973444349
2022-01-02T04:00:01.475000,1.45,1.196619941
2022-01-02T04:00:01.525000,1.5,1.087602734
2022-01-02T04:00:01.575000,1.55,1.056063765
2022-01-02T04:00:01.625000,1.6,1.4962294
2022-01-02T04:00:01.675000,1.65,1.643145349
2022-01-02T04:00:01.725000,1.7,1.815879652
2022-01-02T04:00:01.775000,1.75,1.591682567
2022-01-02T04:00:01.825000,1.8,1.116094979
2022-01-02T04:00:01.875000,1.85,1.668089316
2022-01-02T04:00:01.925000,1.9,2.158376008
2022-01-02T04:00:01.975000,1.95,1.708617465
2022-01-02T04:00:02.025000,2,1.683198341
2022-01-02T04:00:02.075000,2.05,1.696502651
2022-01-02T04:00:02.125000,2.1,1.545303954
2022-01-02T04:00:02.175000,2.15,2.96618727
2022-01-02T04:00:02.225000,2.2,3.630789292
2022-01-02T04:00:02.275000,2.25,1.928568791
2022-01-02T04:00:02.325000,2.3,1.562419457
2022-01-02T04:00:02.375000,2.35,2.786985261
2022-01-02T04:00:02.425000,2.4,3.246514719
2022-01-02T04:00:02.475000,2.45,3.28040873
2022-01-02T04:00:02.525000,2.5,3.593903867
2022-01-02T04:00:02.575000,2.55,3.219769555
2022-01-02T04:00:02.625000,2.6,2.576235071
2022-01-02T04:00:02.675000,2.65,4.224669488
2022-01-02T04:00:02.725000,2.7,5.479842338
2022-01-02T04:00:02.775000,2.75,4.333642367
2022-01-02T04:00:02.825000,2.8,3.315925659
2022-01-02T04:00:02.875000,2.85,3.373730933
2022-01-02T04:00:02.925000,2.9,4.435423892
2022-01-02T04:00:02.975000,2.95,5.333046539
2022-01-02T04:00:03.025000,3,5.310022128
2022-01-02T04:00:03.075000,3.05,2.981164911
2022-01-02T04:00:03.125000,3.1,2.496350079
2022-01-02T04:00:03.175000,3.15,5.721464128
2022-01-02T04:00:03.225000,3.2,5.496284765
2022-01-02T04:00:03.275000,3.25,4.547366665
2022-01-02T04:00:03.325000,3.3,7.042015435
